date,P,D
1984-10-18,4.875,0.0
1984-10-19,4.6875,0.0
1984-10-22,4.6875,0.0
1984-10-23,4.5625,0.0
1984-10-24,4.6875,0.0
1984-10-25,4.625,0.0
1984-10-26,4.5625,0.0
1984-10-29,4.5625,0.0
1984-10-30,4.625,0.0
1984-10-31,4.6875,0.0
1984-11-01,4.5625,0.0
1984-11-02,4.5625,0.0
1984-11-05,4.4375,0.0
1984-11-06,4.4375,0.0
1984-11-07,4.4375,0.0
1984-11-08,4.4375,0.0
1984-11-09,4.4375,0.0
1984-11-12,4.4375,0.0
1984-11-13,4.4375,0.0
1984-11-14,4.375,0.0
1984-11-15,4.3125,0.0
1984-11-16,4.1875,0.0
1984-11-19,4.1875,0.0
1984-11-20,4.0,0.0
1984-11-21,4.0,0.0
1984-11-23,4.0,0.0
1984-11-26,4.0625,0.0
1984-11-27,4.1875,0.0
1984-11-28,4.1875,0.0
1984-11-29,4.1875,0.0
1984-11-30,4.1875,0.0
1984-12-03,4.125,0.0
1984-12-04,4.0,0.0
1984-12-05,4.0,0.0
1984-12-06,3.875,0.0
1984-12-07,3.8125,0.0
1984-12-10,3.8125,0.0
1984-12-11,3.8125,0.0
1984-12-12,3.8125,0.0
1984-12-13,3.8125,0.0
1984-12-14,3.8125,0.0
1984-12-17,3.8125,0.0
1984-12-18,3.8125,0.0
1984-12-19,3.8125,0.0
1984-12-20,3.8125,0.0
1984-12-21,3.8125,0.0
1984-12-24,3.8125,0.0
1984-12-26,3.8125,0.0
1984-12-27,3.875,0.0
1984-12-28,3.8125,0.0
1984-12-31,3.875,0.0
1985-01-02,3.9375,0.0
1985-01-03,4.0625,0.0
1985-01-04,4.0625,0.0
1985-01-07,4.25,0.0
1985-01-08,4.75,0.0
1985-01-09,4.75,0.0
1985-01-10,4.875,0.0
1985-01-11,4.9375,0.0
1985-01-14,5.0,0.0
1985-01-15,5.125,0.0
1985-01-16,5.0625,0.0
1985-01-17,5.0625,0.0
1985-01-18,5.125,0.0
1985-01-21,5.125,0.0
1985-01-22,5.125,0.0
1985-01-23,5.125,0.0
1985-01-24,5.75,0.0
1985-01-25,6.0625,0.0
1985-01-28,6.0625,0.0
1985-01-29,6.125,0.0
1985-01-30,6.375,0.0
1985-01-31,6.375,0.0
1985-02-01,6.375,0.0
1985-02-04,6.75,0.0
1985-02-05,7.5625,0.0
1985-02-06,7.8125,0.0
1985-02-07,7.8125,0.0
1985-02-08,8.5625,0.0
1985-02-11,8.6875,0.0
1985-02-12,8.5,0.0
1985-02-13,8.5,0.0
1985-02-14,8.3125,0.0
1985-02-15,8.25,0.0
1985-02-19,8.0,0.0
1985-02-20,7.875,0.0
1985-02-21,7.875,0.0
1985-02-22,8.125,0.0
1985-02-25,8.0625,0.0
1985-02-26,8.125,0.0
1985-02-27,8.125,0.0
1985-02-28,8.75,0.0
1985-03-01,8.875,0.0
1985-03-04,8.875,0.0
1985-03-05,8.875,0.0
1985-03-06,8.875,0.0
1985-03-07,8.6875,0.0
1985-03-08,8.6875,0.0
1985-03-11,8.5625,0.0
1985-03-12,8.5625,0.0
1985-03-13,8.25,0.0
1985-03-14,8.125,0.0
1985-03-15,8.0625,0.0
1985-03-18,7.875,0.0
1985-03-19,7.875,0.0
1985-03-20,7.875,0.0
1985-03-21,7.875,0.0
1985-03-22,7.875,0.0
1985-03-25,7.875,0.0
1985-03-26,7.8125,0.0
1985-03-27,7.75,0.0
1985-03-28,7.75,0.0
1985-03-29,7.625,0.0
1985-04-01,7.375,0.0
1985-04-02,6.875,0.0
1985-04-03,6.8125,0.0
1985-04-04,6.25,0.0
1985-04-08,6.0,0.0
1985-04-09,6.0625,0.0
1985-04-10,6.0,0.0
1985-04-11,6.625,0.0
1985-04-12,7.3125,0.0
1985-04-15,7.125,0.0
1985-04-16,7.3125,0.0
1985-04-17,7.5,0.0
1985-04-18,7.5,0.0
1985-04-19,7.5,0.0
1985-04-22,7.8125,0.0
1985-04-23,8.0625,0.0
1985-04-24,8.625,0.0
1985-04-25,9.125,0.0
1985-04-26,9.0,0.0
1985-04-29,8.875,0.0
1985-04-30,8.8125,0.0
1985-05-01,8.6875,0.0
1985-05-02,8.75,0.0
1985-05-03,8.875,0.0
1985-05-06,8.875,0.0
1985-05-07,8.875,0.0
1985-05-08,8.875,0.0
1985-05-09,8.9375,0.0
1985-05-10,8.9375,0.0
1985-05-13,9.0,0.0
1985-05-14,8.9375,0.0
1985-05-15,8.875,0.0
1985-05-16,8.875,0.0
1985-05-17,8.875,0.0
1985-05-20,9.0,0.0
1985-05-21,9.6875,0.0
1985-05-22,9.8125,0.0
1985-05-23,10.25,0.0
1985-05-24,10.5,0.0
1985-05-28,10.25,0.0
1985-05-29,10.25,0.0
1985-05-30,10.375,0.0
1985-05-31,10.375,0.0
1985-06-03,10.9375,0.0
1985-06-04,11.1875,0.0
1985-06-05,11.5625,0.0
1985-06-06,11.125,0.0
1985-06-07,11.125,0.0
1985-06-10,11.5,0.0
1985-06-11,11.25,0.0
1985-06-12,11.75,0.0
1985-06-13,11.75,0.0
1985-06-14,11.6875,0.0
1985-06-17,11.625,0.0
1985-06-18,11.1875,0.0
1985-06-19,11.0,0.0
1985-06-20,10.5625,0.0
1985-06-21,10.8125,0.0
1985-06-24,10.625,0.0
1985-06-25,10.6875,0.0
1985-06-26,10.875,0.0
1985-06-27,11.0,0.0
1985-06-28,11.375,0.0
1985-07-01,11.1875,0.0
1985-07-02,11.5,0.0
1985-07-03,11.3125,0.0
1985-07-05,11.125,0.0
1985-07-08,10.875,0.0
1985-07-09,10.75,0.0
1985-07-10,10.625,0.0
1985-07-11,11.0625,0.0
1985-07-12,11.25,0.0
1985-07-15,11.3125,0.0
1985-07-16,11.5,0.0
1985-07-17,11.8125,0.0
1985-07-18,11.75,0.0
1985-07-19,12.0,0.0
1985-07-22,12.0625,0.0
1985-07-23,11.875,0.0
1985-07-24,11.8125,0.0
1985-07-25,11.875,0.0
1985-07-26,11.875,0.0
1985-07-29,11.75,0.0
1985-07-30,11.75,0.0
1985-07-31,11.75,0.0
1985-08-01,11.75,0.0
1985-08-02,11.75,0.0
1985-08-05,11.625,0.0
1985-08-06,11.375,0.0
